case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.10061,NaceSectorsC_11_0_7,C.11.07 - Manufacture of soft drinks; production of mineral waters and other bottled waters,NaceSectorsC,NaceSectorsC_11,NaceSectorsC_11_0,0
M.10061,NaceSectorsG_46_3_4,G.46.34 - Wholesale of beverages,NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_3,0
M.10062,NaceSectorsH_52_2_4,H.52.24 - Cargo handling,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.10063,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.10063,NaceSectorsK_64_9,"K.64.9 - Other financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10063,NaceSectorsK_64_9_2,K.64.92 - Other credit granting,NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10063,NaceSectorsK_64_9_9,"K.64.99 - Other financial service activities, except insurance and pension funding n.e.c.",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10064,NaceSectorsK_64_9_9,"K.64.99 - Other financial service activities, except insurance and pension funding n.e.c.",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10065,NaceSectorsM_73_2,M.73.2 - Market research and public opinion polling,NaceSectorsM,NaceSectorsM_73,NaceSectorsM_73_2,0
M.10066,NaceSectorsC_19_2,C.19.2 - Manufacture of refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19_2,0
M.10066,NaceSectorsC_28_1_1,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.10066,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10067,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.10068,NaceSectorsD_35_1_1,D.35.11 - Production of electricity,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10069,NaceSectorsK_65_1_2,K.65.12 - Non-life insurance,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_1,0
M.10069,NaceSectorsK_65_2,K.65.2 - Reinsurance,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_2,0
M.1007,NaceSectorsC_20_1,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_1,0
M.10070,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.10071,NaceSectorsC_10,C.10 - Manufacture of food products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10,0
M.10072,NaceSectorsD_35_1_1,D.35.11 - Production of electricity,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10073,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10073,NaceSectorsD_35_2_3,D.35.23 - Trade of gas through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10074,NaceSectorsC_29_1,C.29.1 - Manufacture of motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_1,0
M.10075,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.10075,NaceSectorsK_66_1_9,"K.66.19 - Other activities auxiliary to financial services, except insurance and pension funding",NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66_1,0
M.10076,NaceSectorsK_66,K.66 - Activities auxiliary to financial services and insurance activities,NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66,0
M.10077,NaceSectorsK_64_9_1,K.64.91 - Financial leasing,NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10078,NaceSectorsC_28_2_2,C.28.22 - Manufacture of lifting and handling equipment,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_2,0
M.10079,NaceSectorsE_37,E.37 - Sewerage,NaceSectorsE,NaceSectorsE_37,NaceSectorsE_37,0
M.10079,NaceSectorsN_81_2_2,N.81.22 - Other building and industrial cleaning activities,NaceSectorsN,NaceSectorsN_81,NaceSectorsN_81_2,0
M.10081,NaceSectorsC_24_3,C.24.3 - Manufacture of other products of first processing of steel,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24_3,0
M.10081,NaceSectorsC_28_2_2,C.28.22 - Manufacture of lifting and handling equipment,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_2,0
M.10082,NaceSectorsH_50_1,H.50.1 - Sea and coastal passenger water transport,NaceSectorsH,NaceSectorsH_50,NaceSectorsH_50_1,0
M.10082,NaceSectorsH_50_3,H.50.3 - Inland passenger water transport,NaceSectorsH,NaceSectorsH_50,NaceSectorsH_50_3,0
M.10082,NaceSectorsH_52_2_2,H.52.22 - Service activities incidental to water transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.10082,NaceSectorsN_79_1_2,N.79.12 - Tour operator activities,NaceSectorsN,NaceSectorsN_79,NaceSectorsN_79_1,0
M.10083,NaceSectorsC_24_1,C.24.1 - Manufacture of basic iron and steel and of ferro-alloys,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24_1,0
M.10084,NaceSectorsD_35_2_2,D.35.22 - Distribution of gaseous fuels through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10085,NaceSectorsJ_62,"J.62 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62,0
M.10086,NaceSectorsG_46,"G.46 - Wholesale trade, except of motor vehicles and motorcycles",NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46,0
M.10086,NaceSectorsG_47,"G.47 - Retail trade, except of motor vehicles and motorcycles",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47,0
M.10087,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.10088,NaceSectorsC_10_3_2,C.10.32 - Manufacture of fruit and vegetable juice,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_3,0
M.10088,NaceSectorsG_46_3,"G.46.3 - Wholesale of food, beverages and tobacco",NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_3,0
M.10088,NaceSectorsG_47_2,"G.47.2 - Retail sale of food, beverages and tobacco in specialised stores",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_2,0
M.10089,NaceSectorsG_47_3,G.47.3 - Retail sale of automotive fuel in specialised stores,NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_3,0
M.1009,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.10090,NaceSectorsA_1,"A.01 - Crop and animal production, hunting and related service activities",NaceSectorsA,NaceSectorsA_1,NaceSectorsA_1,0
M.10090,NaceSectorsA_1_1,A.01.1 - Growing of non-perennial crops,NaceSectorsA,NaceSectorsA_1,NaceSectorsA_1_1,0
M.10090,NaceSectorsG_46_2_1,"G.46.21 - Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_2,0
M.10091,NaceSectorsG_45_2,G.45.2 - Maintenance and repair of motor vehicles,NaceSectorsG,NaceSectorsG_45,NaceSectorsG_45_2,0
M.10092,NaceSectorsJ_58_2_9,J.58.29 - Other software publishing,NaceSectorsJ,NaceSectorsJ_58,NaceSectorsJ_58_2,0
M.10095,NaceSectorsK_64_9_1,K.64.91 - Financial leasing,NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10095,NaceSectorsK_64_9_9,"K.64.99 - Other financial service activities, except insurance and pension funding n.e.c.",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10095,NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65,0
M.10096,NaceSectorsC_24,C.24 - Manufacture of basic metals,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24,0
